1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0.21984
3.6,0.43069
3.7,0.50642
3.8,0.57846
3.9,0.62914
4,0.68569
4.1,0.74108
4.2,0.786
4.3,0.83453
4.4,0.87902
4.5,0.91465
4.6,0.94182
4.7,0.96226
4.8,0.98166
4.9,0.99756
5,1
5.1,1
5.2,1
5.3,1
5.4,1
5.5,1
5.6,1
5.7,1
5.8,1
5.9,1
6,1
6.1,1
6.2,1
6.3,1
6.4,1
6.5,1
6.6,1
6.7,1
6.8,1
6.9,1
7,1
7.1,1
7.2,1
7.3,1
7.4,1
7.5,1
7.6,1
7.7,1
7.8,1
7.9,1
8,1
8.1,1
8.2,1
8.3,1
8.4,1
8.5,1
8.6,1
8.7,1
8.8,1
8.9,1
9,1
9.1,1
9.2,1
9.3,1
9.4,1
9.5,1
9.6,1
9.7,1
9.8,1
9.9,1
10,1
